,Date,Open,Close,High,Low,Volume
673,2022-06-14 10:41:00,22552.0,22496.0,22552.0,22496.0,4.63802032
672,2022-06-14 10:42:00,22501.0,22478.0,22522.0,22472.0,3.57774921
671,2022-06-14 10:43:00,22475.0,22447.0,22476.0,22432.0,11.78892957
670,2022-06-14 10:44:00,22457.0,22485.0,22485.07815054,22451.0,8.8547008
669,2022-06-14 10:45:00,22485.0,22519.0,22523.0,22472.1561757,4.98610148
668,2022-06-14 10:46:00,22521.85988184,22528.0,22530.0,22501.0,4.8777761
667,2022-06-14 10:47:00,22529.0,22542.0,22546.0,22510.0,3.55815622
666,2022-06-14 10:48:00,22545.0,22504.0,22548.0,22504.0,5.74693402
665,2022-06-14 10:49:00,22503.08709232,22424.0,22503.08709232,22423.28723677,2.52355698
664,2022-06-14 10:50:00,22423.0,22377.0,22423.0,22377.0,17.41486395
663,2022-06-14 10:51:00,22384.0,22409.0,22409.0,22371.62372938,6.24209822
662,2022-06-14 10:52:00,22406.0,22400.0,22416.0,22386.0,14.50178984
661,2022-06-14 10:53:00,22403.0,22394.0,22405.0,22381.0,5.5611383100000005
660,2022-06-14 10:54:00,22394.0,22377.0,22420.0,22377.0,4.94470493
659,2022-06-14 10:55:00,22376.0,22367.0,22376.0,22356.0,11.73504074
658,2022-06-14 10:56:00,22372.0,22360.0,22376.0,22338.0,16.06958329
657,2022-06-14 10:57:00,22360.25746855,22382.0,22384.99180935,22360.25746855,2.11531484
656,2022-06-14 10:58:00,22379.0,22418.0,22418.0,22377.20255919,3.03272655
655,2022-06-14 10:59:00,22422.0,22372.0,22422.0,22365.86847831,5.80514387
654,2022-06-14 11:00:00,22385.0,22337.0,22387.0,22336.0,13.18049448
653,2022-06-14 11:01:00,22335.0,22378.0,22380.0,22317.0,14.693727130000001
652,2022-06-14 11:02:00,22379.0,22371.0,22386.0,22357.0,6.1288925
651,2022-06-14 11:03:00,22389.0,22405.0,22405.0,22377.0,0.5003301
650,2022-06-14 11:04:00,22405.0,22417.0,22424.40674027,22404.0,2.2003828100000002
649,2022-06-14 11:05:00,22413.0,22367.0,22415.0,22365.0,6.42859883
648,2022-06-14 11:06:00,22372.0,22346.0,22372.0,22336.0,7.14637532
647,2022-06-14 11:07:00,22346.0,22361.0,22361.0,22336.0,0.61014876
646,2022-06-14 11:08:00,22367.0,22368.47543045,22375.0,22367.0,0.53866115
645,2022-06-14 11:09:00,22368.0,22353.0,22368.0,22338.0,6.3113973
644,2022-06-14 11:10:00,22352.0,22258.0,22352.0,22251.0,21.63225018
643,2022-06-14 11:11:00,22257.0,22223.72740314,22265.0,22218.0,10.67229216
642,2022-06-14 11:12:00,22223.0,22238.0,22261.0,22196.0,18.19768197
641,2022-06-14 11:13:00,22242.0,22208.65044317,22249.35557461,22170.0,16.4197745
640,2022-06-14 11:14:00,22201.0,22178.0,22238.18808812,22161.0,6.39348548
639,2022-06-14 11:15:00,22188.30664849,22139.0,22188.30664849,22125.0,6.90055772
638,2022-06-14 11:16:00,22137.0,22134.0,22150.0,22128.19343304,3.4742170199999998
637,2022-06-14 11:17:00,22131.0,22084.23522014,22131.0,22014.0,30.24161489
636,2022-06-14 11:18:00,22084.23522014,22021.0,22105.0,22002.0,40.07118946
635,2022-06-14 11:19:00,22019.64515149,22043.0,22076.0,22003.0,4.4857483799999995
634,2022-06-14 11:20:00,22042.54259814,22067.0,22096.0,22042.54259814,6.17291091
633,2022-06-14 11:21:00,22067.0,22106.0,22111.0,22065.0,3.94463349
632,2022-06-14 11:22:00,22103.0,22132.0,22132.0,22077.0,9.61845695
631,2022-06-14 11:23:00,22127.0,22089.40364233,22127.0,22075.77058418,6.9978820200000005
630,2022-06-14 11:24:00,22093.0,22094.61042502,22106.5116426,22084.0,6.73670857
629,2022-06-14 11:25:00,22100.0,22025.0,22100.0,22012.0,19.90095775
628,2022-06-14 11:26:00,22019.0,22020.0,22035.14616072,21979.0,27.25335635
627,2022-06-14 11:27:00,22015.0,22018.0,22050.83641104,22011.0,10.7427061
626,2022-06-14 11:28:00,22020.0,21974.0,22020.0,21974.0,10.074951949999999
625,2022-06-14 11:29:00,21971.0,21970.0,21978.0,21963.0,3.58192958
624,2022-06-14 11:30:00,21972.0,21995.31706375,22011.0,21954.0,5.72693904
623,2022-06-14 11:31:00,21998.0,22034.0,22039.0,21998.0,3.32834897
622,2022-06-14 11:32:00,22034.0,22013.46485048,22038.0,22013.46485048,9.11649538
621,2022-06-14 11:33:00,22013.0,21990.0,22013.0,21990.0,1.63006058
620,2022-06-14 11:34:00,21984.0,21976.0,22002.0,21976.0,4.99076644
619,2022-06-14 11:35:00,21975.0,22018.0,22022.0,21974.8447367,20.5526931
618,2022-06-14 11:36:00,22017.0,21976.0,22022.0,21968.0,3.3333545
617,2022-06-14 11:37:00,21975.0,21995.0,22018.0,21975.0,2.58952849
616,2022-06-14 11:38:00,21998.0,21992.0,22019.0,21987.46876401,5.88483032
615,2022-06-14 11:39:00,22004.0,21945.0,22004.0,21944.0,8.01364814
614,2022-06-14 11:40:00,21943.59199147,21894.0,21956.0,21873.0,13.72890391
613,2022-06-14 11:41:00,21898.0,21913.84502703,21915.0,21898.0,1.08296713
612,2022-06-14 11:42:00,21923.0,21883.0,21949.0,21883.0,1.90954569
611,2022-06-14 11:43:00,21883.0,21842.0,21883.0,21829.0,31.69707704
610,2022-06-14 11:44:00,21837.0,21781.0,21840.0,21764.0,13.5000531
609,2022-06-14 11:45:00,21772.0,21792.12769817,21793.50551655,21729.0,28.56479025
608,2022-06-14 11:46:00,21792.0,21821.0,21842.61116683,21783.05750585,16.68180485
607,2022-06-14 11:47:00,21830.8241127,21906.0,21906.0,21830.8241127,4.57426383
606,2022-06-14 11:48:00,21902.0,21881.0,21938.0,21870.82079572,37.51847205
605,2022-06-14 11:49:00,21900.0,21935.59846205,21961.0,21880.40389383,20.86445397
604,2022-06-14 11:50:00,21942.0,21939.0,21970.0,21935.0,7.0175504
603,2022-06-14 11:51:00,21935.59846205,21898.0,21959.0,21898.0,9.77626804
602,2022-06-14 11:52:00,21900.0,21918.0,21934.0,21885.0,6.3172277800000005
601,2022-06-14 11:53:00,21920.0,21929.0,21944.0,21898.0,7.9183351
600,2022-06-14 11:54:00,21933.0,21908.0,21938.73286526,21901.45503271,1.59749446
599,2022-06-14 11:55:00,21902.0,21928.0,21938.0,21896.94082247,1.26330097
598,2022-06-14 11:56:00,21934.3299455,21928.0,21949.0,21928.0,1.44262491
597,2022-06-14 11:57:00,21922.24491522,21957.29150302,21996.0,21916.03380376,17.95700753
596,2022-06-14 11:58:00,21958.86304046,22013.64884901,22036.0,21958.86304046,11.41559645
595,2022-06-14 11:59:00,22010.0,21996.0,22019.0,21994.75509686,4.30981424
594,2022-06-14 12:00:00,22000.64766163,21997.0,22022.0,21992.0,4.84481261
593,2022-06-14 12:01:00,22007.0,22072.0,22078.14180575,22007.0,5.69277642
592,2022-06-14 12:02:00,22073.0,22145.0,22170.0,22067.0,9.67646283
591,2022-06-14 12:03:00,22156.0,22140.0,22167.0,22130.10743592,7.35540952
590,2022-06-14 12:04:00,22130.10743592,22080.0,22130.10743592,22070.0,10.73526905
589,2022-06-14 12:05:00,22072.0,22090.0,22104.06459902,22062.0,2.36249703
588,2022-06-14 12:06:00,22092.0,22084.0,22124.0,22069.0,6.01937319
587,2022-06-14 12:07:00,22075.0,22002.0,22075.0,21993.0,5.42655128
586,2022-06-14 12:08:00,21995.0,21968.0,21999.06436657,21968.0,2.82467076
585,2022-06-14 12:09:00,21976.0,21951.0,22005.49536655,21945.94481649,1.44290727
584,2022-06-14 12:10:00,21948.95087156,21914.0,21955.34753492,21913.0,4.60936052
583,2022-06-14 12:11:00,21914.0,21928.0,21951.0,21914.0,0.43549339
582,2022-06-14 12:12:00,21921.0,21912.0,21947.74289407,21906.82510298,2.75765951
581,2022-06-14 12:13:00,21920.0,21940.0,21940.0,21907.0,10.04275938
580,2022-06-14 12:14:00,21930.0,21956.19873646,21980.0,21930.0,5.3169815
579,2022-06-14 12:15:00,21958.0,21920.0,21974.51682061,21913.0,12.44530302
578,2022-06-14 12:16:00,21926.89104646,21883.48807326,21926.89104646,21877.0,3.9185049700000003
577,2022-06-14 12:17:00,21878.0,21871.0,21892.01333375,21870.0,0.94621695
576,2022-06-14 12:18:00,21869.0,21887.0,21889.4336635,21869.0,2.53838897
575,2022-06-14 12:19:00,21888.0,21880.0,21927.0,21880.0,3.06571325
574,2022-06-14 12:20:00,21885.7176696,21885.84301785,21887.0,21849.0,13.0087128
573,2022-06-14 12:21:00,21885.84301785,21917.0,21924.0,21885.84301785,1.44437073
572,2022-06-14 12:22:00,21916.0,21883.0,21924.0,21873.77006826,4.0036956
571,2022-06-14 12:23:00,21926.0,21927.0,21927.0,21909.0,7.0331559100000005
570,2022-06-14 12:24:00,21929.0,21939.0,21962.0,21929.0,1.7145252100000001
569,2022-06-14 12:25:00,21912.0,21861.0,21912.0,21837.0,6.65158378
568,2022-06-14 12:26:00,21861.0,21839.87153017,21865.0,21819.0,7.1604804
567,2022-06-14 12:27:00,21838.98252508,21844.0,21853.0,21815.0,1.16642364
566,2022-06-14 12:28:00,21867.0,21832.0,21873.26960247,21821.0,2.2468297
565,2022-06-14 12:29:00,21826.0,21819.0,21848.32349283,21819.0,5.05530454
564,2022-06-14 12:30:00,21819.34533512,21873.0,21898.0,21819.34533512,10.5548354
563,2022-06-14 12:31:00,21873.26960247,21971.0,21988.0,21873.26960247,10.29390987
562,2022-06-14 12:32:00,21972.0,22100.0,22119.83492661,21972.0,46.57179195
561,2022-06-14 12:33:00,22106.71206578,22105.0,22130.0,22073.0,33.35946479
560,2022-06-14 12:34:00,22110.0,22125.0,22145.0,22110.0,10.64705697
559,2022-06-14 12:35:00,22121.92446325,22098.0,22137.59598809,22064.76264177,9.82612183
558,2022-06-14 12:36:00,22103.0,22196.0,22196.0,22099.82829919,4.13910676
557,2022-06-14 12:37:00,22200.0,22285.0,22322.0,22200.0,43.20329805
556,2022-06-14 12:38:00,22290.0,22250.0,22313.84972552,22227.0,17.29729048
555,2022-06-14 12:39:00,22242.0,22202.0,22242.0,22193.0,2.0313070300000002
554,2022-06-14 12:40:00,22192.93366545,22259.0,22259.0,22184.65757439,1.43553702
553,2022-06-14 12:41:00,22259.43749849,22396.0,22410.0,22246.0,55.41819876
552,2022-06-14 12:42:00,22408.16425238,22350.0,22464.0,22345.0,32.98208767
551,2022-06-14 12:43:00,22350.0,22298.0,22360.88848801,22287.2481923,2.44801905
